word,freq,pos,syll
people,372,noun,2
history,187,noun,3
way,185,noun,1
art,183,noun,1
world,169,noun,1
information,168,noun,4
map,167,noun,1
two,164,noun,1
family,159,noun,3
government,143,noun,3
health,122,noun,1
system,111,noun,2
computer,109,noun,3
meat,99,noun,1
year,96,noun,1
thanks,84,noun,1
music,80,noun,2
person,80,noun,2
reading,77,noun,2
method,76,noun,2
data,74,noun,2
food,73,noun,1
understanding,73,noun,4
theory,71,noun,2
law,70,noun,1
bird,68,noun,1
literature,67,noun,5
problem,66,noun,2
software,63,noun,3
control,62,noun,2
knowledge,62,noun,3
power,62,noun,2
ability,61,noun,4
economics,61,noun,4
love,60,noun,1
internet,59,noun,3
television,59,noun,4
science,58,noun,2
library,57,noun,3
nature,57,noun,3
fact,56,noun,1
product,56,noun,2
idea,55,noun,2
temperature,55,noun,5
investment,52,noun,3
area,50,noun,2
society,50,noun,3
activity,48,noun,4
story,48,noun,2
industry,47,noun,3
media,47,noun,2
thing,47,noun,1
oven,45,noun,2
community,44,noun,4
definition,44,noun,4
safety,44,noun,3
quality,43,noun,3
development,42,noun,4
language,42,noun,3
management,41,noun,4
player,41,noun,1
variety,41,noun,3
video,41,noun,2
week,41,noun,1
security,38,noun,4
country,37,noun,2
exam,37,noun,2
movie,37,noun,2
organization,37,noun,5
equipment,35,noun,3
physics,35,noun,2
analysis,34,noun,4
policy,34,noun,3
series,34,noun,2
thought,34,noun,1
basis,33,noun,2
boyfriend,33,noun,2
direction,33,noun,3
strategy,33,noun,3
technology,33,noun,4
army,32,noun,2
camera,32,noun,3
freedom,32,noun,2
paper,32,noun,2
environment,31,noun,4
child,30,noun,1
instance,30,noun,3
month,30,noun,1
truth,30,noun,1
marketing,29,noun,3
university,29,noun,5
writing,29,noun,2
article,28,noun,3
department,28,noun,3
difference,28,noun,4
goal,28,noun,1
news,28,noun,1
audience,27,noun,3
fishing,27,noun,2
growth,27,noun,1
income,27,noun,3
marriage,27,noun,3
user,27,noun,2
combination,26,noun,4
failure,26,noun,3
meaning,26,noun,2
medicine,26,noun,4
philosophy,26,noun,4
teacher,25,noun,2
communication,24,noun,5
night,24,noun,1
chemistry,23,noun,3
disease,23,noun,3
disk,23,noun,1
energy,23,noun,3
nation,23,noun,2
road,23,noun,1
role,23,noun,1
soup,23,noun,1
advertising,22,noun,4
location,22,noun,3
success,22,noun,2
addition,21,noun,3
apartment,21,noun,3
education,21,noun,4
math,21,noun,1
moment,21,noun,2
painting,21,noun,2
politics,21,noun,3
attention,20,noun,3
decision,20,noun,3
event,20,noun,2
property,20,noun,3
shopping,20,noun,2
student,20,noun,2
wood,20,noun,1
competition,19,noun,4
distribution,19,noun,4
entertainment,19,noun,4
office,19,noun,3
population,19,noun,4
president,19,noun,3
unit,19,noun,2
category,18,noun,4
cigarette,18,noun,4
context,18,noun,2
introduction,18,noun,4
opportunity,18,noun,5
performance,18,noun,4
driver,17,noun,2
flight,17,noun,1
length,17,noun,1
magazine,17,noun,4
